INV_NUMBER	CUST_LNAME	PROD_DESCRIPT	LINE_UNITS	LINE_PRICE	
1001	Orlando	7.25-in. pwr. saw blade	1	14.99	
1001	Orlando	Claw hammer	1	9.95	
1002	Dunne	Rat-tail file, 1/8-in. fine	2	4.99	
1003	Smith	B&D cordless drill, 1/2-in.	1	38.95	
1003	Smith	Hrd. cloth, 1/4-in., 2x50	1	39.95	
1003	Smith	7.25-in. pwr. saw blade	5	14.99	
1004	Dunne	Rat-tail file, 1/8-in. fine	3	4.99	
1004	Dunne	Claw hammer	2	9.95	
1005	Farriss	PVC pipe, 3.5-in., 8-ft	12	5.87	
1006	Orlando	1.25-in. metal screw, 25	3	6.99	
1006	Orlando	B&D jigsaw, 12-in. blade	1	109.92	
1006	Orlando	Claw hammer	1	9.95	
1006	Orlando	Hicut chain saw, 16 in.	1	256.99	
1007	O'Brian	7.25-in. pwr. saw blade	2	14.99	
1007	O'Brian	Rat-tail file, 1/8-in. fine	1	4.99	
1008	Dunne	PVC pipe, 3.5-in., 8-ft	5	5.87	
1008	Dunne	Steel matting, 4'x8'x1/6", .5" mesh	3	119.95	
1008	Dunne	Claw hammer	1	9.95	
